subscriber_id,site_id,site_name,site_group_name,site_type,maf_number,lat,lon,landowner_id,trading_name,contract_name
34,14593,37 Old Station Road,,DUMP_SITE,,-39.41053,175.39925,4286,,AWHI
34,3744,AirStrip,Te Pa,PERMANENT,,-39.49696,175.39101,1384,Tepa Station,AWHI - Hamish
34,23239,Airstrip Power Pole,Papahaua Permanent,BREEDING,222,-39.64642,175.17504,,,
34,34814,Andys Corner,Queen Rearing,BREEDING,,-39.992208,175.106003,4232,,Ngati Apa
34,3745,Bamber 01,Bamber,HONEY,33,-39.50718,175.12241,1393,,AWHI - Paul Bamber 
34,3746,Bamber 02,Bamber,HONEY,29,-39.49962,175.12265,1393,,AWHI - Paul Bamber 
34,3747,Bamber 03,Bamber,HONEY,167,-39.49575,175.11365,1393,,AWHI - Paul Bamber 
34,12486,Bambers 04,Bamber,HONEY,19,-39.50163,175.11138,1393,,AWHI - Paul Bamber 
34,12487,Bambers 05,Bamber,HONEY,16,-39.50582,175.11364,1393,,AWHI - Paul Bamber 
34,19117,Bambers Bottom Site 01 ,Bamber,PERMANENT,165,-39.51521,175.12022,1393,,AWHI - Paul Bamber 
34,19118,Bambers Bottom Site 02,Bamber,PERMANENT,166,-39.51439,175.11613,,,
34,19470,Bambers honey 2019,Bamber,HONEY,163,-39.51225,175.11839,,,
34,19101,Bambers Road Fork,Bamber,PERMANENT,168,-39.49933,175.10867,,,
34,9839,Banana Bridge,Tawanui,HONEY,,-39.498302,175.289692,1388,Tawanui Station,AWHI - Steve Tapa
34,3748,Boghole,Te Pa,HONEY,,-39.48893,175.43343,1384,Tepa Station,AWHI - Hamish
34,34753,Bottom Central Skid,Queen Rearing,BREEDING,,-39.51,175.18,4232,,Ngati Apa
34,9834,Bottom of Pa Hill,Te Pa,HONEY,,-39.48412,175.441107,1384,Tepa Station,AWHI - Hamish
34,34799,Bottom Skid,Queen Rearing,BREEDING,,-39.8694,175.331022,4232,,Ngati Apa
