batch_id,days,optimal_mgo
22-AW-0308,180,812.188956
22-AW-0309,210,895.5081252
22-AW-0289,180,441.2980066
22-AW-0294,180,795.1463836
22-AW-0236,210,837.3415779
22-AW-0246,180,680.3156496
22-AW-0298,210,862.3727608
22-AW-0272,180,746.9937371
22-AW-0279,180,808.8244711
22-AW-0201,240,284.1611636
22-AW-0273,180,712.7310166
22-AW-0222,210,828.1020319
22-AW-0245,180,591.4849156
22-AW-0221,210,775.0396663
22-AW-0287,180,785.1972657
22-AW-0284,180,786.2990301
22-AW-0297,210,816.2373963
22-AW-0208,180,772.0871917
22-AW-0203,240,384.0904014
22-AW-0302,180,798.4007944
22-AW-0250,180,677.527488
22-AW-0306,180,786.7227068
22-AW-0301,180,800.6635149
22-AW-0286,180,817.4599863
22-AW-0232,180,812.0279997
22-AW-0275,180,746.8836631
22-AW-0247,180,701.2647675
22-AW-0277,210,878.5081252
22-AW-0281,210,850.1332148
22-AW-0274,180,742.6718247
22-AW-0253,180,741.0955014
22-AW-0207,210,850.7164884
22-AW-0280,180,823.0788819
22-AW-0238,210,607.7795706
22-AW-0228,180,828.0279997
22-AW-0276,210,814.2062135
22-AW-0285,180,756.6718247
22-AW-0278,180,807.6126327
22-AW-0305,210,836.8936687
22-AW-0300,180,784.5108684
22-AW-0240,210,597.4046601
22-AW-0307,180,789.3499122
22-AW-0249,180,714.8410907
22-AW-0205,210,774.7894871
22-AW-0202,240,310.4266602
22-AW-0293,180,767.9854274
22-AW-0282,180,777.5617506
22-AW-0263,180,626.9002826
22-AW-0303,210,852.1332148
22-AW-0231,210,851.0290332
22-AW-0304,210,792.9666675
22-AW-0219,210,745.2480295
22-AW-0223,210,817.9978503
22-AW-0251,180,679.5783702
22-AW-0283,180,763.4091041
22-AW-0229,210,854.1332148
22-AW-0237,210,769.7271215
22-AW-0230,210,900.1955804
22-AW-0292,180,751.9345452
22-AW-0254,180,709.2564577
22-AW-0234,210,822.9978503
22-AW-0256,210,689.0502994
22-AW-0224,210,888.539308
22-AW-0295,210,849.7894871
22-AW-0226,210,855.0290332
22-AW-0261,210,653.4670258
22-AW-0262,180,632.6884442
22-AW-0252,180,749.0446193
22-AW-0217,210,824.6853056
22-AW-0218,210,822.5499411
22-AW-0290,180,744.1463836
22-AW-0239,210,580.7172049
22-AW-0225,210,804.1020319
22-AW-0233,210,823.5499411
22-AW-0212,210,749.5917571
22-AW-0213,210,730.3833939
22-AW-0260,210,625.435843
22-AW-0248,180,667.3156496
22-AW-0296,210,832.2685792
22-AW-0255,210,748.1126651
22-AW-0227,210,898.9560344
22-AW-0264,210,661.5712074
22-AW-0214,210,766.6229399
22-AW-0206,210,841.3309448
22-AW-0204,240,731.662207
22-AW-0216,210,803.5499411
22-AW-0210,210,757.9354847
22-AW-0215,210,806.6541227
22-AW-0243,180,645.9511648
22-AW-0271,210,552.5818405
22-AW-0211,210,767.4145767
22-AW-0257,210,607.435843
22-AW-0220,180,755.2481479
22-AW-0241,210,573.8213865
22-AW-0242,210,593.196297
22-AW-0259,210,608.0921154
22-AW-0299,210,827.6541227
22-AW-0268,210,593.8525693
22-AW-0270,210,558.0297497
22-AW-0258,210,609.435843
22-AW-0267,210,527.9985669
22-AW-0269,210,590.3004785
22-AW-0266,210,566.8213865
22-AW-0288,210,823.2685792
22-AW-0235,210,755.6959387
22-AW-0265,210,596.8525693
22-AW-0209,210,702.3210282
22-AW-0244,210,651.2274798
